joke|categoryId
There are only two things that can cut diamonds: other diamonds, and Chuck Norris.|NULL
President Roosevelt once rode his horse 100 miles. Chuck Norris carried his the same distance in half the time.|NULL
Chuck Norris once ate four 30lb bowling balls without chewing.|NULL
What many people dont know is Chuck Norris is the founder of planned parenthood. Not even unborn children can escape his wrath.|NULL
Chuck Norris was banned from competitive bullriding after a 1992 exhibition in San Antonio, when he rode the bull 1,346 miles from Texas to Milwaukee Wisconsin to pick up his dry cleaning.|NULL
Chuck Norris qualified with a top speed of 324 mph at the Daytona 500, without a car.|NULL
Chuck Norris likes his coffee half and half: half coffee grounds, half wood-grain alcohol.|NULL
Chuck Norris uses tabasco sauce instead of visine.|NULL
The chemical formula for the highly toxic cyanide ion is CN-. These are also Chuck Norris' initials. This is not a coincidence.|NULL
Chuck Norris' credit cards have no limit. Last weekend, he maxed them out.|NULL
Think of a hot woman. Chuck Norris did her.|NULL
A man once claimed Chuck Norris kicked his ass twice, but it was promptly dismissed as false - no one could survive it the first time.|NULL
Chuck Norris sleeps with a pillow under his gun.|NULL
Chuck Norris owns a chain of fast-food restaurants throughout the southwest. They serve nothing but barbecue-flavored ice cream and Hot Pockets.|NULL
Chuck Norris doesn't chew gum. Chuck Norris chews tin foil.|NULL
Aliens DO indeed exist. They just know better than to visit a planet that Chuck Norris is on.|NULL
When in a bar, you can order a drink called a 'Chuck Norris'. It is also known as a 'Bloody Mary', if your name happens to be Mary.|NULL
Every time Chuck Norris smiles, someone dies. Unless he smiles while he?s roundhouse kicking someone in the face. Then two people die.|NULL
Some people ask for a Kleenex when they sneeze, Chuck Norris asks for a body bag.|NULL
There?s an order to the universe: space, time, Chuck Norris.... Just kidding, Chuck Norris is first.|NULL
A man once asked Chuck Norris if his real name is 'Charles'. Chuck Norris did not respond, he simply stared at him until he exploded.|NULL
Chuck Norris starts everyday with a protein shake made from Carnation Instant Breakfast, one dozen eggs, pure Colombian cocaine, and rattlesnake venom. He injects it directly into his neck with a syringe.|NULL
In a tagteam match, Chuck Norris was teamed with Hulk Hogan against King Kong Bundy and Andre The Giant. He pinned all 3 at the same time.|NULL
Chuck Norris doesn't see dead people. He makes people dead.|NULL
Chuck Norris is the only person who can simultaneously hold and fire FIVE Uzis: One in each hand, one in each foot -- and the 5th one he roundhouse-kicks into the air, so that it sprays bullets.|NULL
For undercover police work, Chuck Norris pins his badge underneath his shirt, directly into his chest.|NULL
In the X-Men movies, none of the X-Men super-powers are done with special effects. Chuck Norris is the stuntman for every character.|NULL
We live in an expanding universe. All of it is trying to get away from Chuck Norris.|NULL
The word 'Kill' was invented by Chuck Norris. Other words were 'Die', 'Beer', and 'What'.|NULL
The 11th commandment is ?Thou shalt not piss off Chuck Norris? This commandment is rarely enforced, as it is impossible to accomplish.|NULL
Chuck Norris is his own line at the DMV.|NULL
Two wrongs don't make a right. Unless you're Chuck Norris. Then two wrongs make a roundhouse kick to the face.|NULL
Who let the dogs out? Chuck Norris let the dogs out... and then roundhouse kicked them through an Oldsmobile.|NULL
Chuck Norris can do a roundhouse kick faster than the speed of light. This means that if you turn on a light switch, you will be dead before the lightbulb turns on.|NULL
When Chuck Norris goes to out to eat, he orders a whole chicken, but he only eats its soul.|NULL
Chuck Norris has never won an Academy Award for acting... because he's not acting.|NULL
If Chuck Norris wants your opinion, he'll beat it into you.|NULL
Not everyone that Chuck Norris is mad at gets killed. Some get away. They are called astronauts.|NULL
Chuck Norris has to register every part of his body as a separate lethal weapon. His spleen is considered a concealed weapon in over 50 states.|NULL
A movie scene depicting Chuck Norris losing a fight with Bruce Lee was the product of history's most expensive visual effect. When adjusted for inflation, the effect cost more than the Gross National Product of Paraguay.|NULL
Godzilla is a Japanese rendition of Chuck Norris' first visit to Tokyo.|NULL
They once made a Chuck Norris toilet paper, but there was a problem-- It wouldn't take shit from anybody.|NULL
Chuck Norris once rode a nine foot grizzly bear through an automatic car wash, instead of taking a shower.|NULL
'Sweating bullets' is literally what happens when Chuck Norris gets too hot.|NULL
Chuck Norris' sperm can be seen with the naked eye. Each one is the size of a quarter.|NULL
After taking a steroids test doctors informed Chuck Norris that he had tested positive. He laughed upon receiving this information, and said 'of course my urine tested positive, what do you think they make steroids from?'|NULL
Chuck Norris doesn't daydream. He's too busy giving other people nightmares.|NULL
When Arnold says 'I'll be back' in Terminator movie it is implied that he's going to ask Chuck Norris for help.|NULL
There are no such things as tornados. Chuck Norris just hates trailer parks.|NULL
Chuck Norris' Penis is a third degree blackbelt, and an honorable 32nd-degree mason.|NULL
Chuck Norris does not follow fashion trends, they follow him. But then he turns around and kicks their ass. Nobody follows Chuck Norris.|NULL
Diamonds are not, despite popular belief, carbon. They are, in fact, Chuck Norris fecal matter. This was proven a recently, when scientific analysis revealed what appeared to be Jean-Claude Van Damme bone fragments inside the Hope Diamond.|NULL
Chuck Norris once participated in the running of the bulls. He walked.|NULL
The Drummer for Def Leppard's only got one arm. Chuck Norris needed a back scratcher.|NULL
Chuck Norris was the orginal sculptor of Mount Rushmore. He completed the entire project using only a bottle opener and a drywall trowel.|NULL
Chuck Norris once rode a bull, and nine months later it had a calf.|NULL
Chuck Norris once lost the remote, but maintained control of the TV by yelling at it in between bites of his 'Filet of Child' sandwich.|NULL
For Spring Break '05, Chuck Norris drove to Madagascar, riding a chariot pulled by two electric eels.|NULL
The Manhattan Project was not intended to create nuclear weapons, it was meant to recreate the destructive power in a Chuck Norris Roundhouse Kick. They didn't even come close.|NULL
Chuck Norris has banned rainbows from the state of North Dakota.|NULL
Divide Chuck Norris by zero and you will in fact get one........one bad-ass that is.|NULL
TNT was originally developed by Chuck Norris to cure indigestion.|NULL
After returning from World War 2 unscrathed, Bob Dole was congratulated by Chuck Norris with a handshake. The rest is history.|NULL
Chuck Norris runs on batteries. Specifically, Die Hards.|NULL
'Let the Bodies Hit the Floor' was originally written as Chuck Norris' theme song.|NULL
Chuck Norris will never have a heart attack. His heart isn't nearly foolish enough to attack him.|NULL
Only Chuck Norris can prevent forest fires.|NULL
When Chuck Norris makes a burrito, its main ingredient is real toes.|NULL
Chuck Norris is not Irish. His hair is soaked in the blood of his victims.|NULL
In the movie 'The Matrix', Chuck Norris is the Matrix. If you pay close attention in the green 'falling code' scenes, you can make out the faint texture of his beard.|NULL
Chuck Norris' dick is so big, it has it's own dick, and that dick is still bigger than yours.|5
They say curiosity killed the cat. This is false. Chuck Norris killed the cat. Every single one of them.|NULL
There is no such thing as a lesbian, just a woman who has never met Chuck Norris.|NULL
Chuck Norris crossed the road. No one has ever dared question his motives.|NULL
When Chuck Norris was born, he immediately had sex with the first nurse he saw. He was her first. She was his third. That afternoon.|NULL
One time, at band camp, Chuck Norris ate a percussionist.|NULL
Chuck Norris doesn't say 'who's your daddy', because he knows the answer.|NULL
Chuck Norris originally wrote the first dictionary. The definition for each word is as follows - A swift roundhouse kick to the face.|NULL
Love does not hurt. Chuck Norris does.|NULL
The term 'Cleveland Steamer' got its name from Chuck Norris, when he took a dump while visiting the Rock and Roll Hall of fame and buried northern Ohio under a glacier of fecal matter.|NULL
Chuck Norris once round-house kicked a salesman. Over the phone.|NULL
The pen is mightier than the sword, but only if the pen is held by Chuck Norris.|NULL
Chuck Norris knows the last digit of pi.|10
Those aren't credits that roll after Walker Texas Ranger. It is actually a list of fatalities that occurred during the making of the episode.|NULL
The air around Chuck Norris is always a balmy 78 degrees.|NULL
When Chuck Norris wants an egg, he cracks open a chicken.|NULL
Chuck Norris plays racquetball with a waffle iron and a bowling ball.|NULL
According to the Bible, God created the universe in six days. Before that, Chuck Norris created God by snapping his fingers.|NULL
Chuck Norris doesn't believe in ravioli. He stuffs a live turtle with beef and smothers it in pig's blood.|NULL
Count from one to ten. That's how long it would take Chuck Norris to kill you...Forty seven times.|NULL
The 1972 Miami Dolphins lost one game, it was a game vs. Chuck Norris and three seven year old girls. Chuck Norris won with a roundhouse-kick to the face in overtime.|NULL
Chuck Norris is not Politically Correct. He is just Correct. Always.|NULL
Mr. T pities the fool. Chuck Norris rips the fool's head off.|NULL
Chuck Norris had to stop washing his clothes in the ocean. The tsunamis were killing people.|NULL
Chuck Norris has volunteered to remain on earth after the Rapture; he will spend his time fighting the Anti-Christ.|NULL
Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.|NULL
A man once taunted Chuck Norris with a bag of Lay's potato chips, saying 'Betcha can't eat just one!' Chuck Norris proceeded to eat the chips, the bag, and the man in one deft move.|NULL
Chuck Norris' favorite cereal is Kellogg's Nails 'N' Gravel.|NULL
In the first Jurassic Park movie, the Tyrannosaurus Rex wasn't chasing the jeep. Chuck Norris was chasing the Tyrannosaurus AND the jeep.|NULL
Chuck Norris has never been accused of murder because his roundhouse kicks are recognized as 'acts of God.'|NULL
Chuck Norris does not wear a condom. Because there is no such thing as protection from Chuck Norris.|NULL
Rules of fighting: 1) Don't bring a knife to a gun fight. 2) Don't bring a gun to a Chuck Norris fight.|NULL
Chuck Norris is the only man who has, literally, beaten the odds. With his fists.|NULL
In ancient China there is a legend that one day a child will be born from a dragon, grow to be a man, and vanquish evil from the land. That man is not Chuck Norris, because Chuck Norris killed that man.|NULL
Chuck Norris wipes his ass with chain mail and sandpaper.|NULL
When you play Monopoly with Chuck Norris, you do not pass go, and you do not collect two hundred dollars. You will be lucky if you make it out alive.|NULL
Chuck Norris describes human beings as 'a sociable holder for blood and guts'.|NULL
Chuck Norris likes his ice like he likes his skulls: crushed.|NULL
Chuck Norris can kick through all 6 degrees of separation, hitting anyone, anywhere, in the face, at any time.|NULL
Most tough men eat nails for breakfast. Chuck Norris does all of his grocery shopping at Home Depot.|NULL
Chuck Norris did not 'lose' his virginity, he stalked it and then destroyed it with extreme prejudice.|NULL
Everything King Midas touches turnes to gold. Everything Chuck Norris touches turns up dead.|NULL
When Chuck Norris throws exceptions, it's across the room.|10
All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.|10
Chuck Norris doesn't have disk latency because the hard drive knows to hurry the hell up.|10
Chuck Norris writes code that optimizes itself.|10
Chuck Norris can't test for equality because he has no equal.|10
Chuck Norris doesn't need garbage collection because he doesn't call .Dispose(), he calls .DropKick().|10
Chuck Norris's first program was kill -9.|10
Chuck Norris burst the dot com bubble.|10
All browsers support the hex definitions #chuck and #norris for the colors black and blue.|10
MySpace actually isn't your space, it's Chuck's (he just lets you use it).|10
Chuck Norris can write infinite recursion functions and have them return.|10
Chuck Norris can solve the Towers of Hanoi in one move.|10
The only pattern Chuck Norris knows is God Object.|10
Chuck Norris finished World of Warcraft.|10
Project managers never ask Chuck Norris for estimations... ever.|10
Chuck Norris doesn't use web standards as the web will conform to him.|10
'It works on my machine' always holds true for Chuck Norris.|10
Whiteboards are white because Chuck Norris scared them that way.|NULL
Chuck Norris doesn't do Burn Down charts, he does Smack Down charts.|10
Chuck Norris can delete the Recycling Bin.|10
Chuck Norris's beard can type 140 wpm.|10
Chuck Norris can unit test entire applications with a single assert.|10
Chuck Norris doesn't bug hunt as that signifies a probability of failure, he goes bug killing.|10
Chuck Norris's keyboard doesn't have a Ctrl key because nothing controls Chuck Norris.|10
When Chuck Norris is web surfing websites get the message 'Warning: Internet Explorer has deemed this user to be malicious or dangerous. Proceed?'.|10
Chuck Norris can overflow your stack just by looking at it.|10
To Chuck Norris, everything contains a vulnerability.|10
Chuck Norris doesn't need sudo, he just types 'Chuck Norris' before his commands.|10
Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses.|10
Chuck Norris can access private methods.|10
Chuck Norris can instantiate an abstract class.|10
Chuck Norris does not need to know about class factory pattern. He can instantiate interfaces.|10
The class object inherits from Chuck Norris|10
For Chuck Norris, NP-Hard = O(1).|10
Bill Gates thinks he's Chuck Norris. Chuck Norris actually laughed. Once.|NULL
Chuck Norris is actually the front man for Apple. He let's Steve Jobs run the show when he's on a mission. Chuck Norris is always on a mission.|NULL
Chuck Norris' Internet connection is faster upstream than downstream because even data has more incentive to run from him than to him.|10
Chuck Norris solved the Travelling Salesman problem in O(1) time. Here's the pseudo-code: Break salesman into N pieces. Kick each piece to a different city.|10
No statement can catch the ChuckNorrisException.|10
Chuck Norris doesn't pair program.|10
Chuck Norris can write multi-threaded applications with a single thread.|10
Chuck Norris doesn't need to use AJAX because pages are too afraid to postback anyways.|10
Chuck Norris doesn't use reflection, reflection asks politely for his help.|10
There is no Esc key on Chuck Norris' keyboard, because no one escapes Chuck Norris.|10
Chuck Norris can binary search unsorted data.|10
Chuck Norris breaks RSA 128-bit encrypted codes in milliseconds.|10
Chuck Norris doesn't needs try-catch, exceptions are too afraid to raise.|10
Chuck Norris went out of an infinite loop.|10
If Chuck Norris writes code with bugs, the bugs fix themselves.|10
Chuck Norris hosting is 101% uptime guaranteed.|10
Chuck Norris's keyboard has the Any key.|10
Chuck Norris can access the DB from the UI.|10
Chuck Norris' programs never exit, they terminate.|10
Chuck Norris insists on strongly-typed programming languages.|10
Chuck Norris protocol design method has no status, requests or responses, only commands.|10
Chuck Norris programs occupy 150% of CPU, even when they are not executing.|10
Chuck Norris can spawn threads that complete before they are started.|10
Chuck Norris programs do not accept input.|10
Chuck Norris can install iTunes without installing Quicktime.|10
Chuck Norris doesn't need an OS.|10
Chuck Norris's OSI network model has only one layer - Physical.|10
Chuck Norris can compile syntax errors.|10
Every SQL statement that Chuck Norris codes has an implicit 'COMMIT' in its end.|10
Chuck Norris does not need to type-cast. The Chuck-Norris Compiler (CNC) sees through things. All way down. Always.|10
Chuck Norris does not code in cycles, he codes in strikes.|10
Chuck Norris doesn't use a computer because a computer does everything slower than Chuck Norris.|NULL
Chuck Norris compresses his files by doing a flying round house kick to the hard drive.|10
Chuck Norris solved the halting problem.|10
Chuck Norris doesn't cheat death. He wins fair and square.|NULL
Chuck Norris once won a game of connect four in 3 moves.|NULL
With Chuck Norris P = NP. There's no nondeterminism with Chuck Norris decisions.|10
Chuck Norris can do a wheelie on a unicycle.|NULL
Chuck Norris can win in a game of Russian roulette with a fully loaded gun.|NULL
Chuck Norris eats lightning and shits out thunder.|NULL
Chuck Norris can retrieve anything from /dev/null.|10
No one has ever pair-programmed with Chuck Norris and lived to tell about it.|10
No one has ever spoken during review of Chuck Norris' code and lived to tell about it.|10
Chuck Norris doesn't use GUI, he prefers COMMAND line.|10
Chuck Norris doesn't use Oracle, he is the Oracle.|10
Chuck Norris can dereference NULL.|10
Jesus can walk on water, but Chuck Norris can swim through land.|NULL
A diff between your code and Chuck Norris's is infinite.|10
The Chuck Norris Eclipse plugin made alien contact.|10
Chuck Norris is the ultimate mutex, all threads fear him.|10
Chuck Norris uses canvas in IE.|10
Don't worry about tests, Chuck Norris's test cases cover your code too.|10
Each hair in Chuck Norris's beard contributes to make the world's largest DDOS.|10
Chuck Norris's log statements are always at the FATAL level.|10
Chuck Norris's database has only one table, 'Kick', which he DROPs frequently.|10
When Chuck Norris break the build, you can't fix it, because there is not a single line of code left.|10
Chuck Norris types with one finger. He points it at the keyboard and the keyboard does the rest.|10
Chuck Norris's programs can pass the Turing Test by staring at the interrogator.|10
If you try to kill -9 Chuck Norris's programs, it backfires.|10
Chuck Norris's brain waves are suspected to be harmful to cell phones.|NULL
Chuck Norris does infinit loops in 4 seconds.|10
Product Owners never ask Chuck Norris for more features. They ask for mercy.|10
Product Owners never argue with Chuck Norris after he demonstrates the DropKick feature.|10
Chuck Norris killed two stones with one bird.|NULL
Chuck Norris can speak Braille.|NULL
Chuck Norris can over-write a locked variable.|10
Chuck Norris knows the value of NULL, and he can sort by it too.|10
China lets Chuck Norris search for porn on Google.|5
Chuck Norris can install a 64 bit OS on 32 bit machines.|10
Chuck Norris doesn't have pubic hairs because hair doesn't grow on balls of steal.|5
Chuck Norris can write to an output stream.|10
Chuck Norris can read from an input stream.|10
Chuck Norris never has to build his program to machine code. Machines have learnt to interpret Chuck Norris code.|10
Chuck Norris' unit tests don't run. They die.|10
Chuck Norris sits at the stand-up.|NULL
Chuck Norris doesn't need an account. He just logs in.|NULL
How many Chuck Norris require to screw a light bulb? None, he will screw it all.|NULL
Chuck Norris causes the Windows Blue Screen of Death.|10
Chuck Norris can download emails with his pick-up.|10
Chuck Norris can make a class that is both abstract and final.|10
Chuck Norris could use anything in java.util.* to kill you, including the javadocs.|10
Code runs faster when Chuck Norris watches it.|10
Only Chuck Norris shuts down websites without due process, not SOPA or PIPA.|10
Chuck Norris does not need a watch, he decides what time it is.|NULL
Chuck Norris already went to Moon and Mars, that's why there are no signs of life.|NULL
Once a police officer caught Chuck Norris, the cop was lucky enough to escape with a warning.|NULL
Chuck Norris knows Victoria's secret.|NULL
Dark spots on the Moon are the result of Chuck Norris' shooting practice.|NULL
Chuck Norris died before 20 years, Death doesn't have the courage to tell him yet.|NULL
There is no April 1st in Chuck Norris' calendar, because no one can fool him.|NULL
Chuck Norris can make onions cry.|NULL
Chuck Norris can watch the radio.|NULL
Chuck Norris built the hospital he was born in.|NULL
Once Chuck Norris signed a cheque and the bank bounced.|NULL
Chuck Norris can drown a fish.|NULL
Once death had a near Chuck Norris experience.|NULL
Once Chuck Norris and Superman had a competition. The loser had to wear his underwear over his pants.|NULL
Chuck Norris can make fire using two ice cubes.|NULL
Chuck Norris tears can cure the cancer, but the sad thing is Chuck Norris never cries.|NULL
Chuck Norris can remember the future.|NULL
Chuck Norris doesn't age, because time cannot keep up with him.|NULL
Ghosts are actually caused by Chuck Norris killing people faster than Death can process them.|NULL
